epoch,train_loss,grad_norm,val_accuracy
0,2.295154175567627,3703.5979671494574,0.1473
1,2.266068888092041,51217.335156958274,0.194
2,2.1902542846679687,313340.9356081966,0.2434
3,2.0834589754104615,1090482.301346756,0.2706
4,1.9926297132492066,2404918.2564239292,0.2932
5,1.9239156122207641,4051960.074818447,0.3234
6,1.8643453720092773,5938709.644356934,0.3464
7,1.808524946975708,8281324.722473873,0.3593
8,1.7601845029830934,11262355.16676027,0.3815
9,1.716504327583313,14774020.250513425,0.3983
