epoch,train_loss,grad_norm,val_accuracy
0,2.006638735961914,52216.90438701691,0.3712
1,1.6177307161331176,542588.8658370887,0.4549
2,1.452395700454712,1722219.2932867776,0.4919
3,1.3548670385360717,3433771.1165865194,0.5168
4,1.2901984372138977,5618491.26355457,0.5397
5,1.2378994482040406,8207170.879984145,0.5568
6,1.1983292693138123,11278698.523538096,0.5672
7,1.156671756362915,14990946.506996976,0.5766
8,1.1228915269851685,19509351.695214294,0.5789
9,1.0928191427230836,24521668.67093298,0.5849
