epoch,train_loss,grad_norm,val_accuracy
0,1.714472616004944,190338.38938826916,0.4259
1,1.5124245611190796,1293507.2051156915,0.4614
2,1.4503050952911376,3406451.5803097,0.4745
3,1.4126317846298218,6517707.079336319,0.4845
4,1.3861184104919433,10537719.165046591,0.4911
5,1.3655271164894105,15464946.177872851,0.5031
6,1.3493279022216798,21322243.377550285,0.5063
7,1.3359913824081422,28119431.469255473,0.5107
8,1.3247982562065124,35856316.15271596,0.5127
9,1.314315980052948,44394072.2165114,0.5177
