epoch,train_loss,grad_norm,val_accuracy
0,0.5909735211928685,8.478826591654542,0.8350833333333333
1,0.4146294718782107,1.1881022568510404,0.8330833333333333
2,0.3829901189307372,1.1139388629440639,0.8613333333333333
3,0.362565491805474,1.2185536366911964,0.87
4,0.3458303403755029,1.2930389310511479,0.8695833333333334
5,0.3354825983941555,1.2477309165905177,0.862
6,0.32544407054781915,1.4742067018410938,0.8635
7,0.31938835737109184,1.4186567291444565,0.8589166666666667
8,0.31095493958393733,1.3479930694789266,0.8769166666666667
9,0.3068555571337541,1.4334013788773396,0.8614166666666667
