epoch,train_loss,grad_norm,val_accuracy
0,1.7939956192016602,87969.24170455326,0.4648
1,1.425759009361267,605909.4180121484,0.4844
2,1.375922546672821,1677778.9443111047,0.525
3,1.305499974155426,3316218.9882512526,0.5401
4,1.2685347388267516,5482098.18890894,0.551
5,1.2416191698074341,8315219.073852051,0.5169
6,1.2166856986045838,11704013.83889831,0.5395
7,1.206411204624176,15574428.025130091,0.5467
8,1.1722988617897034,20109510.931248885,0.5426
9,1.1707030598640442,25111044.8099207,0.5216
