epoch,train_loss,grad_norm,val_accuracy
0,0.4463758589426676,6.572339269838626,0.876
1,0.2884822222292423,3.0645132545456,0.8875
2,0.24255063161750634,2.337532941035218,0.9075
3,0.20870365325609844,1.9698581821433037,0.9125
4,0.18151224965353807,1.7393374123235699,0.9079166666666667
5,0.15723314230144023,1.616918489114117,0.90975
6,0.13456233371297519,1.4854226144523515,0.9138333333333334
7,0.11538182423263789,1.3779399621522135,0.9164166666666667
8,0.09457451058924198,1.213234461015436,0.9164166666666667
9,0.07910674538835884,1.1903410489581283,0.9183333333333333
