epoch,train_loss,grad_norm,val_accuracy
0,2.1676835474967957,91851.1618981252,0.54575
1,1.1510789300600688,4031981.6934841373,0.7085
2,0.7266065295537313,12239228.220495474,0.7490833333333333
3,0.6394408235152562,18692607.11821479,0.7744166666666666
4,0.5934350881576538,24157574.80560485,0.7895833333333333
5,0.5611646355787913,29794282.693668175,0.7996666666666666
6,0.5347819549242655,35424131.34188664,0.8154166666666667
7,0.5141119807958603,41060839.783447094,0.8214166666666667
8,0.4960533191363017,46536602.051782705,0.8241666666666667
9,0.48058833195765815,52160637.343325436,0.8331666666666667
