epoch,train_loss,grad_norm,val_accuracy
0,2.1647531394958497,75299.83615710113,0.2708
1,2.0117572141647337,887230.4455791926,0.3015
2,1.9399786750793457,2902513.8061053315,0.3165
3,1.897874771308899,6040517.2663413705,0.3269
4,1.8697500272750855,10204395.869190957,0.3363
5,1.8490456731796265,15387738.122048065,0.3451
6,1.8325901710510253,21576222.641989447,0.3527
7,1.81910075340271,28654746.033240575,0.3594
8,1.8075112020492554,36745387.79053172,0.3629
9,1.797332102203369,45626528.8533877,0.3667
