epoch,train_loss,grad_norm,val_accuracy
0,1.7714515907287598,169361.89776752001,0.4434
1,1.4543444499969482,1269747.2702528315,0.4897
2,1.3522136972427368,3205075.9349806732,0.5211
3,1.2942634902954102,5801392.552419547,0.5311
4,1.2591210694313049,8941095.574390134,0.5452
5,1.2266043045043946,12917690.177423045,0.5537
6,1.1999350293159485,17716122.279932417,0.5567
7,1.1781523588180542,23402881.368360307,0.5634
8,1.1549774291992188,29421041.082861744,0.5648
9,1.1339451855659486,36547385.05371555,0.5763
