epoch,train_loss,grad_norm,val_accuracy
0,0.6565465950568518,13.48489606294712,0.80675
1,0.49451263225078584,16.202053768005523,0.82625
2,0.4556923059821129,16.63045065652285,0.8375
3,0.43348692276080447,17.94704421925827,0.8431666666666666
4,0.4173419702847799,17.636034961905583,0.8469166666666667
5,0.40570389552911124,18.170664620254453,0.8483333333333334
6,0.396199741601944,19.041990612163296,0.8546666666666667
7,0.3885923568209012,18.575413539561364,0.8599166666666667
8,0.38155949441591896,18.899149126657246,0.85625
9,0.3763024964928627,19.328232518954902,0.8618333333333333
