epoch,train_loss,grad_norm,val_accuracy
0,2.181777911758423,16326.348786828876,0.3025
1,1.7476886447906494,279031.25643891713,0.4101
2,1.5240798831939697,1160958.2134809862,0.4656
3,1.4057941520690918,2728075.333792079,0.5032
4,1.327907559490204,4861950.028314122,0.526
5,1.2784687090873719,7583083.6235116515,0.5321
6,1.2379303004264832,10847076.68955061,0.5371
7,1.2009659897804261,15007515.438364,0.558
8,1.1724850684165955,19623399.883473016,0.567
9,1.1392256534576417,24823270.61943378,0.574
