epoch,train_loss,grad_norm,val_accuracy
0,1.5319396146774291,153903.62229810285,0.4862
1,1.3149765650749206,878988.0511242967,0.5519
2,1.2382885534286499,2244930.613711312,0.5426
3,1.1888920193672181,4239724.610642488,0.5507
4,1.157846491241455,6939016.250850389,0.5801
5,1.1294312554359436,10452391.257994765,0.572
6,1.113167284488678,14702658.502481211,0.5684
7,1.09855863904953,19565444.9077299,0.5844
8,1.0822625648498536,25336818.96509173,0.5918
9,1.0699266299247743,31947280.89626507,0.5893
